e64.txt
Cost: 3291
   exitT : 0.3125
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.75
   9.500000000000002 : 0.66
   9.025000000000004 : 0.65
   8.573750000000006 : 0.64
   8.145062500000007 : 0.54
   7.737809375000008 : 0.52
   7.350918906250009 : 0.56
   6.98337296093751 : 0.48
   6.634204312890636 : 0.44
   6.302494097246105 : 0.43
   5.9873693923838 : 0.37
   5.688000922764611 : 0.41
   5.403600876626381 : 0.47
   5.133420832795063 : 0.46
   4.876749791155311 : 0.35
   4.632912301597546 : 0.24
   4.40126668651767 : 0.32
   4.181203352191787 : 0.21
   3.9721431845821984 : 0.33
   3.773536025353089 : 0.28
   3.5848592240854353 : 0.33
   3.405616262881164 : 0.23
   3.2353354497371067 : 0.22
   3.073568677250252 : 0.15
   2.9198902433877403 : 0.16
   2.773895731218354 : 0.25
   2.6352009446574365 : 0.19
   2.503440897424565 : 0.16
   2.3782688525533375 : 0.18
   2.259355409925671 : 0.17
   2.146387639429388 : 0.16
   2.039068257457919 : 0.12
   1.9371148445850233 : 0.12
   1.8402591023557724 : 0.09
   1.748246147237984 : 0.17
   1.6608338398760851 : 0.1
   1.5777921478822812 : 0.14
   1.4989025404881673 : 0.12
   1.4239574134637591 : 0.21
   1.3527595427905714 : 0.1
   1.285121565651043 : 0.09
   1.2208654873684912 : 0.1
   1.1598222130000668 : 0.07
   1.1018311023500638 : 0.07
   1.0467395472325607 : 0.08
   0.9944025698709328 : 0.1
   0.9446824413773863 : 0.1
   0.8974483193085172 : 0.1
   0.8525759033430915 : 0.07
   0.8099471081759371 : 0.02
   0.7694497527671403 : 0.05
   0.7309772651287835 : 0.07
   0.6944284018723444 : 0.04
   0.6597069817787273 : 0.12
   0.6267216326897911 : 0.03
   0.5953855510553017 : 0.03
   0.5656162735025367 : 0.05
   0.53733545982741 : 0.08
   0.5104686868360396 : 0.07
   0.48494525249423776 : 0.1
   0.460697989869526 : 0.06
   0.4376630903760498 : 0.05
   0.4157799358572474 : 0.06
   0.3949909390643851 : 0.03
   0.3752413921111659 : 0.05
   0.3564793225056077 : 0.07
   0.3386553563803274 : 0.06
   0.3217225885613111 : 0.04

Cost: 3426
   exitT : 0.625
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.66
   9.500000000000002 : 0.68
   9.025000000000004 : 0.66
   8.573750000000006 : 0.56
   8.145062500000007 : 0.64
   7.737809375000008 : 0.49
   7.350918906250009 : 0.45
   6.98337296093751 : 0.47
   6.634204312890636 : 0.46
   6.302494097246105 : 0.35
   5.9873693923838 : 0.44
   5.688000922764611 : 0.44
   5.403600876626381 : 0.33
   5.133420832795063 : 0.46
   4.876749791155311 : 0.31
   4.632912301597546 : 0.35
   4.40126668651767 : 0.29
   4.181203352191787 : 0.26
   3.9721431845821984 : 0.21
   3.773536025353089 : 0.3
   3.5848592240854353 : 0.2
   3.405616262881164 : 0.21
   3.2353354497371067 : 0.12
   3.073568677250252 : 0.33
   2.9198902433877403 : 0.21
   2.773895731218354 : 0.24
   2.6352009446574365 : 0.16
   2.503440897424565 : 0.2
   2.3782688525533375 : 0.21
   2.259355409925671 : 0.13
   2.146387639429388 : 0.11
   2.039068257457919 : 0.17
   1.9371148445850233 : 0.12
   1.8402591023557724 : 0.1
   1.748246147237984 : 0.13
   1.6608338398760851 : 0.11
   1.5777921478822812 : 0.13
   1.4989025404881673 : 0.12
   1.4239574134637591 : 0.08
   1.3527595427905714 : 0.1
   1.285121565651043 : 0.07
   1.2208654873684912 : 0.1
   1.1598222130000668 : 0.09
   1.1018311023500638 : 0.16
   1.0467395472325607 : 0.1
   0.9944025698709328 : 0.12
   0.9446824413773863 : 0.05
   0.8974483193085172 : 0.08
   0.8525759033430915 : 0.07
   0.8099471081759371 : 0.07
   0.7694497527671403 : 0.08
   0.7309772651287835 : 0.11
   0.6944284018723444 : 0.05
   0.6597069817787273 : 0.12
   0.6267216326897911 : 0.1

Cost: 3713
   exitT : 0.9375
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.66
   9.500000000000002 : 0.66
   9.025000000000004 : 0.57
   8.573750000000006 : 0.59
   8.145062500000007 : 0.45
   7.737809375000008 : 0.48
   7.350918906250009 : 0.54
   6.98337296093751 : 0.51
   6.634204312890636 : 0.37
   6.302494097246105 : 0.43
   5.9873693923838 : 0.41
   5.688000922764611 : 0.32
   5.403600876626381 : 0.33
   5.133420832795063 : 0.29
   4.876749791155311 : 0.3
   4.632912301597546 : 0.21
   4.40126668651767 : 0.34
   4.181203352191787 : 0.22
   3.9721431845821984 : 0.29
   3.773536025353089 : 0.21
   3.5848592240854353 : 0.25
   3.405616262881164 : 0.19
   3.2353354497371067 : 0.25
   3.073568677250252 : 0.21
   2.9198902433877403 : 0.29
   2.773895731218354 : 0.17
   2.6352009446574365 : 0.15
   2.503440897424565 : 0.19
   2.3782688525533375 : 0.11
   2.259355409925671 : 0.13
   2.146387639429388 : 0.13
   2.039068257457919 : 0.2
   1.9371148445850233 : 0.11
   1.8402591023557724 : 0.13
   1.748246147237984 : 0.14
   1.6608338398760851 : 0.12
   1.5777921478822812 : 0.12
   1.4989025404881673 : 0.1
   1.4239574134637591 : 0.12
   1.3527595427905714 : 0.09
   1.285121565651043 : 0.18
   1.2208654873684912 : 0.1
   1.1598222130000668 : 0.1
   1.1018311023500638 : 0.12
   1.0467395472325607 : 0.09
   0.9944025698709328 : 0.16
   0.9446824413773863 : 0.08

Cost: 3796
   exitT : 0.3125
   beta : 0.9000000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.69
   9.000000000000002 : 0.62
   8.100000000000003 : 0.67
   7.290000000000004 : 0.46
   6.561000000000004 : 0.51
   5.904900000000005 : 0.46
   5.314410000000005 : 0.45
   4.782969000000005 : 0.36
   4.304672100000005 : 0.28
   3.874204890000005 : 0.3
   3.486784401000005 : 0.42
   3.138105960900005 : 0.25
   2.8242953648100046 : 0.19
   2.5418658283290045 : 0.25
   2.2876792454961046 : 0.19
   2.0589113209464944 : 0.17
