paira.txt
Cost: 13942
   exitT : 0.3125
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.58
   9.500000000000002 : 0.53
   9.025000000000004 : 0.58
   8.573750000000006 : 0.48
   8.145062500000007 : 0.53
   7.737809375000008 : 0.45
   7.350918906250009 : 0.43
   6.98337296093751 : 0.46
   6.634204312890636 : 0.49
   6.302494097246105 : 0.35
   5.9873693923838 : 0.38
   5.688000922764611 : 0.3
   5.403600876626381 : 0.38
   5.133420832795063 : 0.32
   4.876749791155311 : 0.42
   4.632912301597546 : 0.36
   4.40126668651767 : 0.32
   4.181203352191787 : 0.3
   3.9721431845821984 : 0.26
   3.773536025353089 : 0.32
   3.5848592240854353 : 0.23
   3.405616262881164 : 0.22
   3.2353354497371067 : 0.31
   3.073568677250252 : 0.26
   2.9198902433877403 : 0.27
   2.773895731218354 : 0.19
   2.6352009446574365 : 0.27
   2.503440897424565 : 0.21
   2.3782688525533375 : 0.21
   2.259355409925671 : 0.22
   2.146387639429388 : 0.25
   2.039068257457919 : 0.17
   1.9371148445850233 : 0.21
   1.8402591023557724 : 0.13
   1.748246147237984 : 0.19
   1.6608338398760851 : 0.18
   1.5777921478822812 : 0.12
   1.4989025404881673 : 0.16
   1.4239574134637591 : 0.19
   1.3527595427905714 : 0.15
   1.285121565651043 : 0.12
   1.2208654873684912 : 0.14
   1.1598222130000668 : 0.15
   1.1018311023500638 : 0.11
   1.0467395472325607 : 0.13
   0.9944025698709328 : 0.09
   0.9446824413773863 : 0.14
   0.8974483193085172 : 0.12
   0.8525759033430915 : 0.09
   0.8099471081759371 : 0.14
   0.7694497527671403 : 0.15
   0.7309772651287835 : 0.18
   0.6944284018723444 : 0.11
   0.6597069817787273 : 0.11
   0.6267216326897911 : 0.08
   0.5953855510553017 : 0.12
   0.5656162735025367 : 0.07
   0.53733545982741 : 0.11
   0.5104686868360396 : 0.11
   0.48494525249423776 : 0.1
   0.460697989869526 : 0.09
   0.4376630903760498 : 0.12
   0.4157799358572474 : 0.07
   0.3949909390643851 : 0.1
   0.3752413921111659 : 0.08
   0.3564793225056077 : 0.09
   0.3386553563803274 : 0.09
   0.3217225885613111 : 0.12

Cost: 14398
   exitT : 0.625
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.68
   9.500000000000002 : 0.71
   9.025000000000004 : 0.6
   8.573750000000006 : 0.58
   8.145062500000007 : 0.51
   7.737809375000008 : 0.56
   7.350918906250009 : 0.5
   6.98337296093751 : 0.49
   6.634204312890636 : 0.42
   6.302494097246105 : 0.47
   5.9873693923838 : 0.43
   5.688000922764611 : 0.38
   5.403600876626381 : 0.42
   5.133420832795063 : 0.4
   4.876749791155311 : 0.34
   4.632912301597546 : 0.42
   4.40126668651767 : 0.36
   4.181203352191787 : 0.35
   3.9721431845821984 : 0.24
   3.773536025353089 : 0.33
   3.5848592240854353 : 0.32
   3.405616262881164 : 0.29
   3.2353354497371067 : 0.27
   3.073568677250252 : 0.24
   2.9198902433877403 : 0.21
   2.773895731218354 : 0.22
   2.6352009446574365 : 0.26
   2.503440897424565 : 0.21
   2.3782688525533375 : 0.14
   2.259355409925671 : 0.26
   2.146387639429388 : 0.2
   2.039068257457919 : 0.19
   1.9371148445850233 : 0.19
   1.8402591023557724 : 0.24
   1.748246147237984 : 0.15
   1.6608338398760851 : 0.15
   1.5777921478822812 : 0.17
   1.4989025404881673 : 0.23
   1.4239574134637591 : 0.14
   1.3527595427905714 : 0.08
   1.285121565651043 : 0.2
   1.2208654873684912 : 0.18
   1.1598222130000668 : 0.16
   1.1018311023500638 : 0.18
   1.0467395472325607 : 0.12
   0.9944025698709328 : 0.1
   0.9446824413773863 : 0.1
   0.8974483193085172 : 0.16
   0.8525759033430915 : 0.14
   0.8099471081759371 : 0.11
   0.7694497527671403 : 0.15
   0.7309772651287835 : 0.11
   0.6944284018723444 : 0.13
   0.6597069817787273 : 0.13
   0.6267216326897911 : 0.14

Cost: 14942
   exitT : 0.9375
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.69
   9.500000000000002 : 0.72
   9.025000000000004 : 0.59
   8.573750000000006 : 0.56
   8.145062500000007 : 0.46
   7.737809375000008 : 0.59
   7.350918906250009 : 0.57
   6.98337296093751 : 0.38
   6.634204312890636 : 0.42
   6.302494097246105 : 0.4
   5.9873693923838 : 0.48
   5.688000922764611 : 0.41
   5.403600876626381 : 0.39
   5.133420832795063 : 0.36
   4.876749791155311 : 0.31
   4.632912301597546 : 0.36
   4.40126668651767 : 0.3
   4.181203352191787 : 0.28
   3.9721431845821984 : 0.31
   3.773536025353089 : 0.29
   3.5848592240854353 : 0.3
   3.405616262881164 : 0.32
   3.2353354497371067 : 0.27
   3.073568677250252 : 0.14
   2.9198902433877403 : 0.18
   2.773895731218354 : 0.2
   2.6352009446574365 : 0.2
   2.503440897424565 : 0.17
   2.3782688525533375 : 0.2
   2.259355409925671 : 0.31
   2.146387639429388 : 0.16
   2.039068257457919 : 0.16
   1.9371148445850233 : 0.2
   1.8402591023557724 : 0.18
   1.748246147237984 : 0.16
   1.6608338398760851 : 0.12
   1.5777921478822812 : 0.14
   1.4989025404881673 : 0.13
   1.4239574134637591 : 0.14
   1.3527595427905714 : 0.18
   1.285121565651043 : 0.11
   1.2208654873684912 : 0.18
   1.1598222130000668 : 0.21
   1.1018311023500638 : 0.12
   1.0467395472325607 : 0.12
   0.9944025698709328 : 0.16
   0.9446824413773863 : 0.11

Cost: 15481
   exitT : 0.3125
   beta : 0.9000000000000001
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.6
   9.000000000000002 : 0.5
   8.100000000000003 : 0.58
   7.290000000000004 : 0.53
   6.561000000000004 : 0.51
   5.904900000000005 : 0.45
   5.314410000000005 : 0.44
   4.782969000000005 : 0.4
   4.304672100000005 : 0.42
   3.874204890000005 : 0.4
   3.486784401000005 : 0.4
   3.138105960900005 : 0.35
   2.8242953648100046 : 0.29
   2.5418658283290045 : 0.35
   2.2876792454961046 : 0.24
   2.0589113209464944 : 0.22
