pairb.txt
Cost: 20690
   exitT : 0.3125
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.68
   9.500000000000002 : 0.57
   9.025000000000004 : 0.65
   8.573750000000006 : 0.55
   8.145062500000007 : 0.58
   7.737809375000008 : 0.41
   7.350918906250009 : 0.43
   6.98337296093751 : 0.47
   6.634204312890636 : 0.42
   6.302494097246105 : 0.36
   5.9873693923838 : 0.43
   5.688000922764611 : 0.44
   5.403600876626381 : 0.36
   5.133420832795063 : 0.39
   4.876749791155311 : 0.29
   4.632912301597546 : 0.32
   4.40126668651767 : 0.32
   4.181203352191787 : 0.29
   3.9721431845821984 : 0.24
   3.773536025353089 : 0.32
   3.5848592240854353 : 0.3
   3.405616262881164 : 0.22
   3.2353354497371067 : 0.29
   3.073568677250252 : 0.34
   2.9198902433877403 : 0.23
   2.773895731218354 : 0.26
   2.6352009446574365 : 0.21
   2.503440897424565 : 0.2
   2.3782688525533375 : 0.24
   2.259355409925671 : 0.18
   2.146387639429388 : 0.19
   2.039068257457919 : 0.15
   1.9371148445850233 : 0.18
   1.8402591023557724 : 0.17
   1.748246147237984 : 0.14
   1.6608338398760851 : 0.23
   1.5777921478822812 : 0.14
   1.4989025404881673 : 0.17
   1.4239574134637591 : 0.19
   1.3527595427905714 : 0.12
   1.285121565651043 : 0.14
   1.2208654873684912 : 0.11
   1.1598222130000668 : 0.25
   1.1018311023500638 : 0.14
   1.0467395472325607 : 0.13
   0.9944025698709328 : 0.13
   0.9446824413773863 : 0.18
   0.8974483193085172 : 0.08
   0.8525759033430915 : 0.16
   0.8099471081759371 : 0.15
   0.7694497527671403 : 0.07
   0.7309772651287835 : 0.14
   0.6944284018723444 : 0.15
   0.6597069817787273 : 0.14
   0.6267216326897911 : 0.1
   0.5953855510553017 : 0.07
   0.5656162735025367 : 0.08
   0.53733545982741 : 0.12
   0.5104686868360396 : 0.08
   0.48494525249423776 : 0.11
   0.460697989869526 : 0.06
   0.4376630903760498 : 0.11
   0.4157799358572474 : 0.06
   0.3949909390643851 : 0.15
   0.3752413921111659 : 0.09
   0.3564793225056077 : 0.11
   0.3386553563803274 : 0.09
   0.3217225885613111 : 0.11

Cost: 21555
   exitT : 0.625
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.59
   9.500000000000002 : 0.59
   9.025000000000004 : 0.7
   8.573750000000006 : 0.48
   8.145062500000007 : 0.44
   7.737809375000008 : 0.49
   7.350918906250009 : 0.46
   6.98337296093751 : 0.47
   6.634204312890636 : 0.53
   6.302494097246105 : 0.4
   5.9873693923838 : 0.45
   5.688000922764611 : 0.48
   5.403600876626381 : 0.33
   5.133420832795063 : 0.37
   4.876749791155311 : 0.31
   4.632912301597546 : 0.33
   4.40126668651767 : 0.29
   4.181203352191787 : 0.3
   3.9721431845821984 : 0.26
   3.773536025353089 : 0.25
   3.5848592240854353 : 0.21
   3.405616262881164 : 0.29
   3.2353354497371067 : 0.19
   3.073568677250252 : 0.21
   2.9198902433877403 : 0.22
   2.773895731218354 : 0.25
   2.6352009446574365 : 0.18
   2.503440897424565 : 0.19
   2.3782688525533375 : 0.14
   2.259355409925671 : 0.18
   2.146387639429388 : 0.3
   2.039068257457919 : 0.23
   1.9371148445850233 : 0.17
   1.8402591023557724 : 0.17
   1.748246147237984 : 0.18
   1.6608338398760851 : 0.16
   1.5777921478822812 : 0.15
   1.4989025404881673 : 0.13
   1.4239574134637591 : 0.2
   1.3527595427905714 : 0.23
   1.285121565651043 : 0.14
   1.2208654873684912 : 0.18
   1.1598222130000668 : 0.16
   1.1018311023500638 : 0.15
   1.0467395472325607 : 0.1
   0.9944025698709328 : 0.14
   0.9446824413773863 : 0.13
   0.8974483193085172 : 0.09
   0.8525759033430915 : 0.1
   0.8099471081759371 : 0.13
   0.7694497527671403 : 0.1
   0.7309772651287835 : 0.09
   0.6944284018723444 : 0.14
   0.6597069817787273 : 0.14
   0.6267216326897911 : 0.14

Cost: 22661
   exitT : 0.9375
   beta : 0.9500000000000002
   runWith0 : True
   startT : 10.0
   n : 100
   10.0 : 0.5
   9.500000000000002 : 0.51
   9.025000000000004 : 0.52
   8.573750000000006 : 0.54
   8.145062500000007 : 0.52
   7.737809375000008 : 0.53
   7.350918906250009 : 0.52
   6.98337296093751 : 0.42
   6.634204312890636 : 0.37
   6.302494097246105 : 0.39
   5.9873693923838 : 0.38
   5.688000922764611 : 0.3
   5.403600876626381 : 0.36
   5.133420832795063 : 0.36
   4.876749791155311 : 0.33
   4.632912301597546 : 0.31
   4.40126668651767 : 0.3
   4.181203352191787 : 0.31
   3.9721431845821984 : 0.3
   3.773536025353089 : 0.35
   3.5848592240854353 : 0.24
   3.405616262881164 : 0.19
   3.2353354497371067 : 0.3
   3.073568677250252 : 0.12
   2.9198902433877403 : 0.28
   2.773895731218354 : 0.17
   2.6352009446574365 : 0.24
   2.503440897424565 : 0.22
   2.3782688525533375 : 0.19
   2.259355409925671 : 0.25
   2.146387639429388 : 0.18
   2.039068257457919 : 0.16
   1.9371148445850233 : 0.14
   1.8402591023557724 : 0.19
   1.748246147237984 : 0.2
   1.6608338398760851 : 0.18
   1.5777921478822812 : 0.2
   1.4989025404881673 : 0.21
   1.4239574134637591 : 0.13
   1.3527595427905714 : 0.17
   1.285121565651043 : 0.17
   1.2208654873684912 : 0.09
   1.1598222130000668 : 0.14
   1.1018311023500638 : 0.15
   1.0467395472325607 : 0.12
   0.9944025698709328 : 0.12
   0.9446824413773863 : 0.16

Cost: 23629
   exitT : 3.125
   beta : 0.9500000000000002
   runWith0 : True
   startT : 100.0
   n : 100
   100.0 : 0.85
   95.00000000000001 : 0.95
   90.25000000000003 : 0.92
   85.73750000000004 : 0.83
   81.45062500000006 : 0.89
   77.37809375000008 : 0.86
   73.50918906250008 : 0.88
   69.8337296093751 : 0.86
   66.34204312890635 : 0.77
   63.024940972461046 : 0.86
   59.873693923838005 : 0.8
   56.88000922764611 : 0.76
   54.03600876626382 : 0.76
   51.33420832795064 : 0.79
   48.76749791155312 : 0.81
   46.329123015975476 : 0.68
